open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
3439.36,3440.56,3416.14,3402.38,417616.34,-2.14,-0.06,3379.046,3338.666,3345.895,360667.52,343320.53,325993.75
3382.8,3428.13,3418.28,3382.8,439181.41,59.16,1.76,3357.314,3326.461,3344.432,345315.18,327138.41,319077.06
3380.2,3380.2,3359.12,3339.47,350319.44,-10.38,-0.31,3326.838,3315.103,3342.912,326809.69,317870.41,317004.77
3366.4,3386.98,3369.5,3345.2,312771.09,37.31,1.12,3311.09,3313.852,3339.299,328220.03,316750.04,311801.0
3311.54,3340.53,3332.19,3301.32,283449.31,24.71,0.75,3302.078,3313.855,3332.445,326103.72,312871.79,307509.92
3284.04,3324.41,3307.48,3282.55,340854.66,41.58,1.27,3298.286,3318.378,3327.902,325973.54,315856.36,302851.32
3280.62,3298.08,3265.9,3249.96,346653.97,-14.48,-0.44,3295.608,3323.98,3325.053,308961.63,308163.42,296295.78
3321.94,3332.87,3280.38,3271.27,357371.12,-44.06,-1.32,3303.368,3332.821,3323.247,308931.12,314762.73,289418.19
3278.98,3351.12,3324.44,3277.57,302189.53,11.21,0.34,3316.614,3342.8,3320.164,305280.04,313957.96,284373.43
3295.44,3324.8,3313.23,3285.04,282798.44,19.14,0.58,3325.632,3347.496,3317.729,299639.86,311124.18,279497.85
3298.06,3305.61,3294.09,3281.62,255795.09,-10.61,-0.32,3338.47,3353.123,3315.593,305739.17,308666.96,278767.96
3320.03,3328.68,3304.7,3288.58,346501.44,-41.91,-1.25,3352.352,3362.403,3316.468,307365.21,311015.71,280878.01
3364.6,3395.41,3346.61,3346.61,339115.72,-22.92,-0.68,3362.274,3370.721,3318.622,320594.33,316139.14,285841.92
3370.08,3378.65,3369.53,3328.32,273988.59,-7.89,-0.23,3368.986,3364.746,3314.526,322635.87,306851.96,280597.67
3372.69,3380.05,3377.42,3351.72,313295.03,13.92,0.41,3369.36,3351.035,3310.829,322608.49,302148.05,278012.84
3352.03,3365.18,3363.5,3340.84,263925.28,9.19,0.27,3367.776,3337.425,3307.84,311594.74,289846.29,273006.3
3398.75,3430.56,3354.31,3349.16,412647.03,-25.86,-0.77,3372.454,3326.125,3304.372,314666.21,284428.13,270372.98
3374.17,3400.42,3380.17,3362.18,349323.44,8.77,0.26,3379.168,3313.672,3299.932,311683.95,264073.65,261495.77
