日期,股票代码,名称,收盘价,最高价,最低价
2020-11-10,'600519,贵州茅台,1745.0,1764.48,1736.0
2020-11-09,'600519,贵州茅台,1742.57,1750.68,1700.62
2020-11-06,'600519,贵州茅台,1700.62,1731.59,1690.0
2020-11-05,'600519,贵州茅台,1721.9,1732.48,1712.1
2020-11-04,'600519,贵州茅台,1699.58,1704.0,1685.0
2020-11-03,'600519,贵州茅台,1695.0,1705.9,1675.5
2020-11-02,'600519,贵州茅台,1674.01,1695.0,1672.0
2020-10-30,'600519,贵州茅台,1670.02,1696.0,1665.0
2020-10-29,'600519,贵州茅台,1676.0,1708.0,1647.0
2020-10-28,'600519,贵州茅台,1664.81,1677.0,1625.08
2020-10-27,'600519,贵州茅台,1625.0,1644.0,1616.12
2020-10-26,'600519,贵州茅台,1643.0,1662.92,1600.0
2020-10-23,'600519,贵州茅台,1715.33,1747.59,1714.0
2020-10-22,'600519,贵州茅台,1742.5,1745.0,1715.51
2020-10-21,'600519,贵州茅台,1733.33,1742.15,1723.0
2020-10-20,'600519,贵州茅台,1734.0,1734.97,1695.0
2020-10-19,'600519,贵州茅台,1699.0,1733.98,1691.9
2020-10-16,'600519,贵州茅台,1712.0,1734.58,1703.0
2020-10-15,'600519,贵州茅台,1725.0,1735.0,1721.0
2020-10-14,'600519,贵州茅台,1729.0,1746.98,1726.0
2020-10-13,'600519,贵州茅台,1739.0,1750.62,1735.0
2020-10-12,'600519,贵州茅台,1750.61,1750.61,1700.0
2020-10-09,'600519,贵州茅台,1696.0,1706.42,1688.0
2020-09-30,'600519,贵州茅台,1668.5,1691.9,1660.0
2020-09-29,'600519,贵州茅台,1652.3,1669.4,1652.3
2020-09-28,'600519,贵州茅台,1661.0,1668.5,1635.19
2020-09-25,'600519,贵州茅台,1635.11,1650.0,1625.0
2020-09-24,'600519,贵州茅台,1629.32,1658.88,1626.8
2020-09-23,'600519,贵州茅台,1649.98,1666.01,1621.02
2020-09-22,'600519,贵州茅台,1665.69,1686.98,1650.0
2020-09-21,'600519,贵州茅台,1666.8,1692.76,1666.66
2020-09-18,'600519,贵州茅台,1695.0,1695.0,1635.01
2020-09-17,'600519,贵州茅台,1670.52,1700.0,1658.0
2020-09-16,'600519,贵州茅台,1725.1,1764.81,1719.0
2020-09-15,'600519,贵州茅台,1760.0,1769.99,1747.75
2020-09-14,'600519,贵州茅台,1766.0,1769.0,1730.58
2020-09-11,'600519,贵州茅台,1733.0,1736.0,1688.0
2020-09-10,'600519,贵州茅台,1705.8,1720.0,1700.0
2020-09-09,'600519,贵州茅台,1688.0,1711.0,1680.04
2020-09-08,'600519,贵州茅台,1711.4,1737.8,1677.07
2020-09-07,'600519,贵州茅台,1723.5,1777.99,1703.97
2020-09-04,'600519,贵州茅台,1770.0,1776.99,1746.0
2020-09-03,'600519,贵州茅台,1793.0,1812.0,1779.7
2020-09-02,'600519,贵州茅台,1795.0,1828.0,1770.0
2020-09-01,'600519,贵州茅台,1801.98,1802.0,1775.01
2020-08-31,'600519,贵州茅台,1786.5,1816.0,1770.58
2020-08-28,'600519,贵州茅台,1757.0,1764.0,1721.5
2020-08-27,'600519,贵州茅台,1731.0,1733.98,1705.0
2020-08-26,'600519,贵州茅台,1727.0,1745.0,1715.02
2020-08-25,'600519,贵州茅台,1727.0,1746.78,1698.63
2020-08-24,'600519,贵州茅台,1696.35,1708.0,1691.01
2020-08-21,'600519,贵州茅台,1676.0,1698.0,1671.0
2020-08-20,'600519,贵州茅台,1664.0,1679.0,1656.0
2020-08-19,'600519,贵州茅台,1687.0,1717.0,1682.99
2020-08-18,'600519,贵州茅台,1705.0,1720.0,1691.0
2020-08-17,'600519,贵州茅台,1690.0,1704.35,1670.0
2020-08-14,'600519,贵州茅台,1661.0,1665.7,1631.0
2020-08-13,'600519,贵州茅台,1635.0,1638.88,1609.0
2020-08-12,'600519,贵州茅台,1626.95,1641.0,1605.25
2020-08-11,'600519,贵州茅台,1642.51,1666.43,1640.0
2020-08-10,'600519,贵州茅台,1633.99,1644.96,1608.11
2020-08-07,'600519,贵州茅台,1631.0,1649.67,1598.5
2020-08-06,'600519,贵州茅台,1637.96,1674.03,1630.0
2020-08-05,'600519,贵州茅台,1668.0,1673.09,1643.31
2020-08-04,'600519,贵州茅台,1669.99,1682.99,1660.0
2020-08-03,'600519,贵州茅台,1668.0,1696.58,1660.0
2020-07-31,'600519,贵州茅台,1678.18,1705.0,1646.0
2020-07-30,'600519,贵州茅台,1680.0,1700.59,1670.5
2020-07-29,'600519,贵州茅台,1672.0,1690.0,1633.0
2020-07-28,'600519,贵州茅台,1670.0,1680.0,1630.0
2020-07-27,'600519,贵州茅台,1622.55,1629.8,1600.0
2020-07-24,'600519,贵州茅台,1595.3,1666.0,1585.0
2020-07-23,'600519,贵州茅台,1676.0,1691.0,1650.0
2020-07-22,'600519,贵州茅台,1678.08,1710.0,1658.0
2020-07-21,'600519,贵州茅台,1668.0,1702.8,1630.99
2020-07-20,'600519,贵州茅台,1636.96,1663.99,1588.88
2020-07-17,'600519,贵州茅台,1648.05,1672.59,1620.0
2020-07-16,'600519,贵州茅台,1614.0,1729.91,1600.0
2020-07-15,'600519,贵州茅台,1752.53,1782.6,1744.71
2020-07-14,'600519,贵州茅台,1762.0,1782.03,1748.4
2020-07-13,'600519,贵州茅台,1781.99,1787.0,1714.68
2020-07-10,'600519,贵州茅台,1713.85,1736.6,1688.94
2020-07-09,'600519,贵州茅台,1706.0,1712.0,1682.0
2020-07-08,'600519,贵州茅台,1681.34,1719.0,1660.0
2020-07-07,'600519,贵州茅台,1688.0,1744.82,1601.0
2020-07-06,'600519,贵州茅台,1600.0,1616.0,1531.81
2020-07-03,'600519,贵州茅台,1541.79,1552.5,1516.88
2020-07-02,'600519,贵州茅台,1544.0,1550.9,1495.0
2020-07-01,'600519,贵州茅台,1494.27,1506.1,1464.02
2020-06-30,'600519,贵州茅台,1462.88,1468.98,1455.12
2020-06-29,'600519,贵州茅台,1463.17,1466.0,1437.01
2020-06-24,'600519,XD贵州茅,1460.01,1465.71,1445.0
2020-06-23,'600519,贵州茅台,1474.5,1482.0,1433.52
2020-06-22,'600519,贵州茅台,1439.0,1443.89,1433.2
2020-06-19,'600519,贵州茅台,1439.84,1445.2,1415.1
2020-06-18,'600519,贵州茅台,1413.0,1413.2,1400.1
2020-06-17,'600519,贵州茅台,1405.0,1411.9,1395.02
2020-06-16,'600519,贵州茅台,1403.88,1414.0,1393.13
2020-06-15,'600519,贵州茅台,1383.0,1411.6,1381.0
2020-06-12,'600519,贵州茅台,1416.37,1416.37,1383.31
2020-06-11,'600519,贵州茅台,1400.46,1417.99,1396.99
2020-06-10,'600519,贵州茅台,1423.66,1433.33,1417.0
2020-06-09,'600519,贵州茅台,1416.55,1425.0,1400.68
2020-06-08,'600519,贵州茅台,1406.1,1435.0,1402.01
2020-06-05,'600519,贵州茅台,1425.0,1428.88,1401.08
2020-06-04,'600519,贵州茅台,1407.99,1411.0,1396.0
2020-06-03,'600519,贵州茅台,1399.3,1417.5,1395.77
2020-06-02,'600519,贵州茅台,1410.71,1427.9,1406.66
2020-06-01,'600519,贵州茅台,1419.5,1420.1,1381.0
2020-05-29,'600519,贵州茅台,1366.6,1369.98,1332.1
2020-05-28,'600519,贵州茅台,1344.0,1346.94,1321.13
2020-05-27,'600519,贵州茅台,1338.0,1360.0,1333.0
2020-05-26,'600519,贵州茅台,1358.0,1369.95,1355.0
2020-05-25,'600519,贵州茅台,1362.9,1366.58,1321.0
2020-05-22,'600519,贵州茅台,1328.2,1366.1,1322.88
2020-05-21,'600519,贵州茅台,1366.1,1371.96,1352.86
2020-05-20,'600519,贵州茅台,1351.0,1359.18,1336.81
2020-05-19,'600519,贵州茅台,1346.11,1364.0,1338.0
2020-05-18,'600519,贵州茅台,1346.21,1351.5,1305.13
2020-05-15,'600519,贵州茅台,1313.0,1333.5,1301.88
2020-05-14,'600519,贵州茅台,1326.59,1334.88,1325.11
2020-05-13,'600519,贵州茅台,1335.95,1337.99,1322.88
2020-05-12,'600519,贵州茅台,1333.0,1334.99,1316.0
2020-05-11,'600519,贵州茅台,1323.01,1335.0,1313.67
2020-05-08,'600519,贵州茅台,1314.61,1338.0,1308.51
2020-05-07,'600519,贵州茅台,1312.0,1314.99,1293.0
2020-05-06,'600519,贵州茅台,1300.0,1300.0,1250.0
2020-04-30,'600519,贵州茅台,1265.7,1285.01,1258.88
2020-04-29,'600519,贵州茅台,1274.9,1288.1,1258.0
2020-04-28,'600519,贵州茅台,1279.13,1299.94,1271.88
2020-04-27,'600519,贵州茅台,1276.0,1278.17,1250.96
2020-04-24,'600519,贵州茅台,1250.56,1259.89,1235.18
2020-04-23,'600519,贵州茅台,1252.26,1265.68,1247.77
2020-04-22,'600519,贵州茅台,1244.5,1249.5,1202.22
2020-04-21,'600519,贵州茅台,1200.0,1223.99,1193.0
2020-04-20,'600519,贵州茅台,1227.3,1231.5,1216.8
2020-04-17,'600519,贵州茅台,1226.0,1234.56,1205.01
2020-04-16,'600519,贵州茅台,1197.1,1197.1,1184.1
2020-04-15,'600519,贵州茅台,1189.6,1203.99,1187.1
2020-04-14,'600519,贵州茅台,1185.1,1191.55,1166.0
2020-04-13,'600519,贵州茅台,1162.3,1169.98,1148.5
2020-04-10,'600519,贵州茅台,1165.0,1181.5,1153.5
2020-04-09,'600519,贵州茅台,1158.5,1169.0,1147.96
2020-04-08,'600519,贵州茅台,1159.76,1166.31,1152.0
2020-04-07,'600519,贵州茅台,1159.95,1166.5,1148.89
2020-04-03,'600519,贵州茅台,1139.79,1147.96,1131.98
2020-04-02,'600519,贵州茅台,1145.0,1145.0,1103.88
2020-04-01,'600519,贵州茅台,1103.0,1129.0,1103.0
2020-03-31,'600519,贵州茅台,1111.0,1115.0,1081.8
2020-03-30,'600519,贵州茅台,1072.0,1077.0,1057.0
2020-03-27,'600519,贵州茅台,1075.5,1092.0,1075.01
