日期,股票代码,名称,收盘价,最高价,最低价
2020-11-10,'000858,五 粮 液,272.8,278.65,267.25
2020-11-09,'000858,五 粮 液,270.0,270.0,260.6
2020-11-06,'000858,五 粮 液,259.3,261.2,255.05
2020-11-05,'000858,五 粮 液,259.41,259.85,254.05
2020-11-04,'000858,五 粮 液,253.0,253.0,248.3
2020-11-03,'000858,五 粮 液,250.4,250.4,245.5
2020-11-02,'000858,五 粮 液,245.7,251.05,244.5
2020-10-30,'000858,五 粮 液,244.35,250.0,243.27
2020-10-29,'000858,五 粮 液,250.0,253.77,238.49
2020-10-28,'000858,五 粮 液,239.98,242.0,233.42
2020-10-27,'000858,五 粮 液,233.5,235.35,230.7
2020-10-26,'000858,五 粮 液,232.61,234.59,223.0
2020-10-23,'000858,五 粮 液,236.63,242.24,236.3
2020-10-22,'000858,五 粮 液,241.74,242.99,236.68
2020-10-21,'000858,五 粮 液,241.77,243.7,239.69
2020-10-20,'000858,五 粮 液,240.98,241.0,235.0
2020-10-19,'000858,五 粮 液,236.18,241.6,234.6
2020-10-16,'000858,五 粮 液,236.88,240.82,235.24
2020-10-15,'000858,五 粮 液,238.91,240.5,238.34
2020-10-14,'000858,五 粮 液,239.4,244.33,238.18
2020-10-13,'000858,五 粮 液,242.27,244.6,238.84
2020-10-12,'000858,五 粮 液,241.75,242.01,229.0
2020-10-09,'000858,五 粮 液,227.57,229.55,223.29
2020-09-30,'000858,五 粮 液,221.0,225.0,220.1
2020-09-29,'000858,五 粮 液,219.73,222.8,218.77
2020-09-28,'000858,五 粮 液,220.13,222.85,218.0
2020-09-25,'000858,五 粮 液,217.2,219.44,216.37
2020-09-24,'000858,五 粮 液,216.3,221.37,215.88
2020-09-23,'000858,五 粮 液,219.32,221.49,212.46
2020-09-22,'000858,五 粮 液,222.9,226.77,222.0
2020-09-21,'000858,五 粮 液,224.9,229.55,224.47
2020-09-18,'000858,五 粮 液,229.52,229.52,220.82
2020-09-17,'000858,五 粮 液,222.65,226.0,218.9
2020-09-16,'000858,五 粮 液,226.02,232.19,225.0
2020-09-15,'000858,五 粮 液,230.33,231.4,228.0
2020-09-14,'000858,五 粮 液,230.08,231.44,224.18
2020-09-11,'000858,五 粮 液,227.88,227.88,220.18
2020-09-10,'000858,五 粮 液,223.2,225.76,219.96
2020-09-09,'000858,五 粮 液,217.0,220.66,216.0
2020-09-08,'000858,五 粮 液,221.93,229.35,217.6
2020-09-07,'000858,五 粮 液,226.89,233.45,225.1
2020-09-04,'000858,五 粮 液,230.22,234.0,226.27
2020-09-03,'000858,五 粮 液,238.64,243.0,235.19
2020-09-02,'000858,五 粮 液,235.0,239.78,233.8
2020-09-01,'000858,五 粮 液,236.24,239.8,233.1
2020-08-31,'000858,五 粮 液,240.0,246.7,240.0
2020-08-28,'000858,五 粮 液,240.5,244.86,233.2
2020-08-27,'000858,五 粮 液,238.08,238.98,231.14
2020-08-26,'000858,五 粮 液,236.65,239.87,232.2
2020-08-25,'000858,五 粮 液,235.6,236.75,225.99
2020-08-24,'000858,五 粮 液,225.0,226.3,219.19
