trade_date,open,high,low,close
20191231,133.0,134.12,132.2,133.01
20191230,129.2,133.25,128.58,132.82
20191227,128.98,130.25,128.82,129.0
20191226,128.1,128.32,127.28,128.15
20191225,129.16,129.19,127.69,128.1
20191224,128.44,129.62,128.4,128.7
20191223,127.5,129.5,126.99,128.14
20191220,130.0,130.28,128.9,129.1
20191219,131.0,131.65,129.18,129.86
20191218,130.5,132.92,130.25,130.94
20191217,128.99,130.33,128.85,130.25
20191216,130.22,130.3,127.6,128.83
20191213,128.58,130.22,128.2,129.52
20191212,129.0,129.22,127.3,127.78
20191211,130.4,130.85,128.0,128.82
20191210,129.88,131.08,129.5,130.86
20191209,131.77,132.98,130.2,130.49
20191206,128.15,131.2,128.01,130.98
20191205,128.5,128.7,127.5,128.16
20191204,127.96,128.57,126.88,128.45
20191203,126.36,126.79,124.88,126.04
20191202,127.45,128.94,125.2,127.0
20191129,130.6,130.6,126.0,127.55
20191128,132.01,132.8,129.9,130.81
20191127,130.49,132.3,129.73,131.49
20191126,128.71,130.72,128.71,130.72
20191125,128.3,129.58,125.72,128.7
20191122,133.37,134.07,128.05,128.97
20191121,133.65,134.25,132.91,133.66
20191120,133.0,135.56,132.8,134.0
20191119,133.0,133.7,132.57,133.5
20191118,133.42,134.09,132.5,133.0
20191115,134.98,134.98,133.0,133.33
20191114,134.65,135.5,133.68,134.55
20191113,133.8,135.28,132.68,134.62
20191112,133.1,133.85,132.19,133.37
20191111,134.0,134.88,132.0,132.72
20191108,134.3,136.63,134.0,134.59
20191107,132.64,133.49,132.12,133.17
20191106,134.98,134.98,132.51,132.63
20191105,134.5,135.28,133.55,134.28
20191104,133.9,135.85,133.84,133.99
20191101,132.7,134.18,131.85,133.7
20191031,135.66,136.0,131.71,132.08
20191030,131.5,131.87,129.58,130.95
20191029,131.0,132.65,130.26,131.5
20191028,128.22,130.8,127.28,130.05
20191025,125.15,128.5,124.42,128.2
20191024,127.55,128.2,124.25,124.53
20191023,129.0,130.08,127.02,127.32
20191022,129.0,129.38,128.0,129.0
20191021,127.3,128.5,126.13,128.12
20191018,129.98,129.98,126.67,127.3
20191017,131.0,131.13,129.75,130.3
20191016,129.9,131.25,128.74,130.13
20191015,131.0,133.53,130.0,132.69
20191014,133.0,133.5,130.3,130.86
20191011,131.5,132.65,129.0,131.25
20191010,128.61,131.65,126.08,130.99
20191009,133.0,133.09,130.7,131.81
20191008,129.8,134.57,129.8,132.76
20190930,133.0,133.95,129.5,129.8
20190927,133.11,135.3,132.2,133.8
20190926,136.97,137.62,133.35,134.1
20190925,136.0,137.88,134.66,136.54
20190924,134.25,137.72,134.25,136.51
20190923,136.72,136.72,132.0,134.85
20190920,135.5,137.52,135.5,136.84
20190919,136.0,136.25,133.71,134.92
20190918,132.1,135.92,132.01,135.56
20190917,130.1,133.74,129.58,131.54
20190916,130.47,131.8,129.1,130.92
20190912,127.5,132.14,127.5,131.55
20190911,135.0,135.6,128.68,129.26
20190910,138.2,138.5,136.21,137.25
20190909,140.06,140.73,138.6,139.2
20190906,139.65,140.1,137.22,140.01
20190905,138.28,140.24,137.8,138.9
20190904,140.06,141.0,137.5,138.31
20190903,142.0,142.79,139.4,141.5
20190902,141.5,142.55,138.1,141.89
20190830,138.05,143.1,138.03,141.5
20190829,134.4,137.74,133.72,137.0
20190828,133.2,136.55,131.7,133.92
20190827,128.77,133.28,128.45,132.38
20190826,127.9,129.0,126.6,127.42
20190823,130.54,131.68,129.18,130.1
20190822,128.34,131.0,127.86,130.5
20190821,129.49,129.88,127.6,127.85
20190820,128.0,130.22,127.7,129.59
20190819,127.3,128.81,125.73,127.9
20190816,126.5,129.0,125.4,126.3
20190815,123.9,126.44,123.51,125.98
20190814,124.2,127.0,123.51,125.85
20190813,122.0,123.0,121.38,122.3
20190812,120.99,123.2,119.01,122.84
20190809,121.5,121.98,117.5,118.02
20190808,119.49,121.61,119.26,120.52
20190807,121.8,121.85,118.86,118.88
20190806,116.8,121.8,114.3,121.28
20190805,116.53,119.39,116.22,116.95
20190802,116.31,118.65,116.02,118.12
20190801,120.03,121.32,118.13,119.03
20190731,122.2,123.1,120.28,120.71
20190730,124.1,124.68,122.5,122.9
20190729,121.5,124.18,120.93,123.75
20190726,120.81,122.5,120.5,121.25
20190725,119.3,121.77,116.2,121.68
20190724,120.22,121.13,119.0,119.5
20190723,123.7,123.78,118.68,120.05
20190722,122.3,123.78,121.33,123.45
20190719,122.0,123.88,121.1,122.14
20190718,123.51,124.25,121.0,121.0
20190717,123.5,124.74,122.5,123.6
20190716,125.1,126.0,123.19,123.58
20190715,124.02,125.46,121.5,125.09
20190712,123.73,126.53,122.9,125.58
20190711,127.45,127.92,122.83,123.5
20190710,126.88,127.44,125.4,126.43
20190709,126.72,128.8,124.5,126.0
20190708,129.78,129.8,124.5,127.03
20190705,123.5,130.18,123.0,129.81
20190704,123.89,124.86,120.28,123.09
20190703,127.0,130.29,122.14,123.91
20190702,124.71,128.0,124.61,128.0
20190701,121.18,126.0,121.05,126.0
20190628,117.58,118.34,115.88,117.95
20190627,114.51,118.47,114.51,117.3
20190626,114.24,114.84,113.19,113.82
20190625,115.06,116.57,112.0,114.9
20190624,112.98,117.4,112.01,115.06
