trade_date,open,high,low,close
20191231,1183.0,1188.0,1176.51,1183.0
20191230,1170.2,1195.5,1170.2,1185.8
20191227,1150.0,1172.0,1150.0,1163.0
20191226,1132.0,1141.98,1119.99,1135.1
20191225,1143.0,1143.0,1130.01,1133.7
20191224,1153.0,1155.0,1145.0,1148.0
20191223,1139.0,1162.5,1136.0,1149.3
20191220,1162.18,1162.18,1141.5,1146.3
20191219,1163.0,1163.0,1152.0,1157.4
20191218,1174.0,1175.2,1164.0,1168.0
20191217,1149.7,1173.6,1143.03,1169.98
20191216,1163.0,1163.0,1137.94,1147.92
20191213,1146.0,1165.0,1146.0,1163.0
20191212,1156.0,1159.94,1130.08,1137.0
20191211,1168.0,1170.75,1155.55,1158.98
20191210,1159.6,1165.0,1151.0,1164.4
20191209,1175.0,1176.0,1156.1,1158.7
20191206,1135.97,1170.0,1130.1,1170.0
20191205,1125.0,1132.01,1118.0,1129.8
20191204,1140.0,1144.66,1118.0,1122.33
20191203,1133.0,1133.0,1117.74,1118.0
20191202,1118.2,1140.02,1118.2,1133.0
20191129,1165.5,1165.5,1112.89,1129.0
20191128,1194.97,1197.51,1169.02,1175.8
20191127,1192.8,1196.62,1184.51,1189.95
20191126,1186.68,1198.6,1183.0,1185.0
20191125,1188.05,1194.0,1172.06,1182.06
20191122,1223.0,1229.0,1185.0,1194.0
20191121,1231.0,1235.51,1221.06,1231.3
20191120,1230.0,1239.51,1228.06,1233.75
20191119,1228.0,1241.61,1225.02,1232.32
20191118,1225.12,1229.45,1218.0,1227.28
20191115,1230.0,1232.91,1221.5,1224.9
20191114,1227.0,1240.0,1222.0,1230.0
20191113,1207.0,1227.8,1200.0,1224.0
20191112,1204.0,1209.6,1198.21,1201.6
20191111,1201.5,1206.2,1193.51,1199.0
20191108,1205.0,1215.65,1201.51,1205.0
20191107,1196.51,1201.88,1189.0,1201.37
20191106,1197.0,1204.0,1188.88,1193.0
20191105,1199.5,1205.0,1192.0,1199.0
20191104,1190.0,1209.99,1189.0,1199.59
20191101,1181.0,1191.95,1172.5,1185.0
20191031,1196.0,1198.0,1176.15,1180.01
20191030,1190.0,1192.7,1176.0,1183.8
20191029,1181.11,1199.96,1177.77,1193.0
20191028,1166.01,1181.01,1165.0,1178.29
20191025,1153.3,1172.5,1143.03,1171.35
20191024,1164.95,1166.0,1147.16,1150.27
20191023,1168.0,1178.0,1156.11,1158.91
20191022,1178.0,1181.5,1163.89,1170.8
20191021,1171.86,1178.9,1163.3,1168.5
20191018,1179.0,1189.99,1171.69,1175.79
20191017,1176.0,1186.66,1162.5,1183.33
20191016,1168.0,1187.5,1160.0,1170.0
20191015,1180.0,1215.68,1177.03,1211.0
20191014,1186.0,1187.66,1170.0,1180.0
20191011,1157.0,1175.0,1152.21,1174.6
20191010,1127.0,1158.93,1109.02,1155.0
20191009,1166.2,1166.2,1135.05,1146.81
20191008,1153.0,1180.0,1152.01,1167.1
20190930,1163.0,1169.43,1150.0,1150.0
20190927,1164.0,1183.0,1153.0,1174.75
20190926,1174.94,1183.35,1158.81,1167.0
20190925,1180.0,1188.87,1170.5,1174.0
20190924,1155.0,1184.9,1152.0,1184.0
20190923,1157.0,1157.0,1131.0,1149.0
20190920,1151.0,1160.0,1147.59,1157.42
20190919,1148.0,1150.0,1137.1,1145.0
20190918,1108.5,1150.0,1108.18,1148.9
20190917,1094.0,1106.66,1087.0,1094.01
20190916,1083.0,1103.95,1083.0,1099.0
20190912,1066.0,1109.98,1066.0,1099.0
20190911,1119.22,1119.97,1068.0,1069.52
20190910,1134.3,1135.0,1120.01,1123.85
20190909,1145.0,1148.0,1135.0,1136.52
20190906,1144.5,1146.15,1131.0,1142.49
20190905,1129.0,1144.9,1128.0,1144.0
20190904,1140.8,1142.91,1120.11,1125.01
20190903,1140.0,1151.02,1128.56,1140.0
20190902,1139.99,1144.98,1129.0,1138.76
20190830,1125.0,1146.0,1123.0,1142.0
20190829,1105.0,1118.18,1092.5,1113.1
20190828,1109.0,1123.19,1083.01,1100.11
20190827,1117.0,1131.31,1109.0,1109.0
20190826,1113.0,1128.0,1096.68,1102.95
20190823,1105.0,1133.56,1095.62,1130.1
20190822,1072.99,1104.0,1070.0,1104.0
20190821,1070.1,1076.97,1061.66,1066.0
20190820,1055.0,1073.68,1050.0,1070.0
20190819,1061.0,1069.98,1049.05,1055.88
20190816,1049.84,1075.58,1041.0,1054.6
20190815,1028.0,1046.48,1028.0,1044.9
20190814,1030.02,1051.9,1030.02,1043.33
20190813,1016.16,1026.0,1010.68,1017.95
20190812,1010.31,1020.1,995.01,1018.63
20190809,978.5,980.95,958.99,962.03
20190808,953.5,974.0,952.0,971.68
20190807,949.5,955.53,945.0,945.0
20190806,931.0,948.0,923.8,946.3
20190805,945.0,954.0,940.0,942.43
20190802,944.0,957.98,943.0,954.45
20190801,976.51,977.0,953.02,959.3
20190731,975.0,981.77,966.59,972.6
20190730,976.5,983.0,971.0,978.93
20190729,962.03,979.5,960.01,976.41
20190726,961.97,971.0,958.55,965.03
20190725,945.97,963.36,938.15,963.0
20190724,958.31,959.9,944.69,946.36
20190723,962.3,962.59,943.86,953.98
20190722,960.0,964.0,950.25,957.02
20190719,955.0,960.8,948.0,955.87
20190718,961.5,963.0,947.18,947.5
20190717,968.0,972.99,962.13,963.5
20190716,975.45,982.3,965.0,968.0
20190715,967.8,980.1,951.13,975.93
