date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-11-10,4995.41,4995.41,4953.88,4928.93,1762672.12,-27.47,-0.55,4903.944,4822.363,4792.497,1561889.28,1425250.69,1252057.28
2020-11-09,4918.86,4997.8,4981.35,4918.86,1971319.88,95.63,1.96,4868.68,4796.903,4786.763,1481465.68,1341639.78,1222181.84
2020-11-06,4897.63,4897.63,4885.72,4845.43,1536390.38,0.61,0.01,4816.576,4767.892,4778.853,1372937.08,1252851.07,1201508.13
2020-11-05,4861.34,4885.11,4885.11,4838.0,1392446.0,71.45,1.48,4778.498,4751.169,4768.624,1345263.6,1206037.22,1180357.37
2020-11-04,4781.45,4825.46,4813.66,4770.56,1146618.0,36.1,0.76,4756.06,4740.456,4753.739,1301008.9,1168143.51,1155275.67
2020-11-03,4743.17,4793.4,4777.56,4734.17,1360554.12,56.73,1.2,4740.782,4738.373,4742.646,1288612.1,1157287.41,1140941.69
2020-11-02,4702.75,4738.02,4720.83,4695.44,1428676.88,25.5,0.54,4725.126,4739.964,4732.863,1201813.89,1119280.16,1115438.18
2020-10-30,4776.47,4778.51,4695.33,4683.47,1398023.0,-77.59,-1.63,4719.208,4743.43,4725.323,1132765.06,1105658.83,1090511.92
2020-10-29,4683.61,4803.03,4772.92,4679.25,1171172.5,35.65,0.75,4723.84,4753.065,4718.71,1066810.84,1082572.63,1076907.61
2020-10-28,4703.0,4753.31,4737.27,4685.6,1084634.0,37.99,0.81,4724.852,4755.647,4712.68,1035278.13,1075420.34,1066262.25
2020-10-27,4680.14,4708.46,4699.28,4671.85,926563.06,8.04,0.17,4735.964,4762.63,4707.605,1025962.73,1078863.87,1071867.02
2020-10-26,4684.05,4713.39,4691.24,4639.3,1083432.75,-27.25,-0.58,4754.802,4776.622,4707.212,1036746.43,1102723.9,1087806.78
2020-10-23,4775.47,4802.46,4718.49,4717.1,1068251.88,-59.49,-1.25,4767.652,4789.814,4709.505,1078552.6,1150165.19,1113848.38
2020-10-22,4780.6,4791.81,4777.98,4725.5,1013508.94,-14.85,-0.31,4782.29,4786.079,4705.216,1098334.42,1154677.51,1113427.6
2020-10-21,4801.63,4801.63,4792.83,4758.86,1038057.0,-0.64,-0.01,4786.442,4767.021,4699.185,1115562.56,1142407.82,1117128.97
2020-10-20,4751.37,4793.47,4793.47,4739.46,980481.56,37.98,0.8,4789.296,4746.918,4693.967,1131765.01,1124595.97,1116184.08
2020-10-19,4823.49,4849.61,4755.49,4747.34,1292463.62,-36.19,-0.76,4798.442,4725.762,4686.846,1168701.37,1111596.21,1120777.59
2020-10-16,4798.92,4825.55,4791.68,4765.97,1167161.0,-7.06,-0.15,4811.976,4707.215,4680.436,1221777.77,1075365.0,1113805.63
2020-10-15,4810.78,4833.89,4798.74,4796.26,1099649.62,-8.36,-0.17,4789.868,4684.354,4669.951,1211020.6,1071242.59,1130774.01
2020-10-14,4830.46,4830.46,4807.1,4795.91,1119069.25,-32.1,-0.66,4747.6,4669.713,4659.243,1169253.07,1057104.15,1156930.09
2020-10-13,4812.9,4845.92,4839.2,4795.37,1165163.38,16.04,0.33,4704.54,4652.579,4653.608,1117426.94,1064870.18,1170576.24
2020-10-12,4705.19,4823.27,4823.16,4704.16,1557845.62,142.02,3.03,4653.082,4637.802,4645.116,1054491.04,1072889.66,1186621.96
2020-10-09,4663.61,4695.4,4681.14,4655.09,1113375.12,93.74,2.04,4602.454,4629.195,4642.469,928952.22,1077531.58,1168746.08
2020-09-30,4607.58,4634.72,4587.4,4563.41,890812.0,-4.4,-0.1,4578.84,4624.352,4649.267,931464.58,1072177.69,1185912.93
2020-09-29,4608.29,4616.68,4591.8,4586.35,859938.56,9.89,0.22,4591.826,4631.348,4662.092,944955.23,1091850.13,1220367.09
2020-09-28,4582.65,4613.63,4581.91,4571.15,850483.88,11.89,0.26,4600.618,4641.016,4674.608,1012313.41,1107772.2,1246567.86
2020-09-25,4582.48,4599.54,4570.02,4554.72,930151.56,6.95,0.15,4622.522,4647.93,4686.323,1091288.29,1129958.98,1305327.18
2020-09-24,4623.95,4631.95,4563.07,4562.21,1125936.88,-89.26,-1.92,4655.936,4653.656,4700.036,1226110.93,1152246.25,1338519.48
2020-09-23,4639.66,4665.96,4652.33,4623.55,958265.25,16.57,0.36,4669.864,4655.547,4708.45,1212890.8,1190305.44,1341744.06
